,0
The Hitchhiker's Guide to the Galaxy,"Critics Consensus: A frantic and occasional funny adaptation of Douglas Adams' novel. However, it may have those unfamiliar with the source material scratching their heads."
The Endless,"Critics Consensus: The Endless benefits from its grounded approach to an increasingly bizarre story, elevated by believable performances by filmmakers Justin Benson and Aaron Moorhead."
Timecrimes,Critics Consensus: Timecrimes is a low-budget thriller that's well-crafted and loaded with dark humor and bizarre twists.
Ad Astra,Critics Consensus: Ad Astra takes a visually thrilling journey through the vast reaches of space while charting an ambitious course for the heart of the bond between parent and child.
Westworld,Critics Consensus: Yul Brynner gives a memorable performance as a robotic cowboy in this amusing sci-fi/western hybrid.
High Life,"Critics Consensus: High Life is as visually arresting as it is challenging, confounding, and ultimately rewarding - which is to say it's everything film fans expect from director Claire Denis."
Coherence,"Critics Consensus: A case study in less-is-more filmmaking, Coherence serves as a compelling low-budget calling card for debuting writer-director James Ward Byrkit."
The Rocky Horror Picture Show,"Critics Consensus: Rocky Horror Picture Show brings its quirky characters in tight, but it's the narrative thrust that really drives audiences insane and keeps 'em doing the time warp again."
Midnight Special,"Critics Consensus: Midnight Special's intriguing mysteries may not resolve themselves to every viewer's liking, but the journey is ambitious, entertaining, and terrifically acted."
Wizards,"Critics Consensus: Its central metaphor is a bit too on the nose, but Wizards is an otherwise psychedelic, freaky trip into an alternate version of our world."
Annihilation,Critics Consensus: Annihilation backs up its sci-fi visual wonders and visceral genre thrills with an impressively ambitious -- and surprisingly strange -- exploration of challenging themes that should leave audiences pondering long after the end credits roll.
Contact,"Critics Consensus: Contact elucidates stirring scientific concepts and theological inquiry at the expense of satisfying storytelling, making for a brainy blockbuster that engages with its ideas, if not its characters."
The Congress,"Critics Consensus: The Congress rises on the strength of Robin Wright's powerful performance, with enough ambitious storytelling and technical thrills to overcome its somewhat messy structure."
Flight of the Navigator,"Critics Consensus: Bolstered by impressive special effects and a charming performance from its young star, Flight of the Navigator holds up as a solidly entertaining bit of family-friendly sci-fi."
Little Shop of Horrors,"Critics Consensus: Remixing Roger Corman's B-movie by way of the Off-Broadway musical, Little Shop of Horrors offers camp, horror and catchy tunes in equal measure -- plus some inspired cameos by the likes of Steve Martin and Bill Murray."
Alita: Battle Angel,"Critics Consensus: Alita: Battle Angel's story struggles to keep up with its special effects, but fans of futuristic sci-fi action may still find themselves more than sufficiently entertained."
Ready Player One,Critics Consensus: Ready Player One is a sweetly nostalgic thrill ride that neatly encapsulates Spielberg's strengths while adding another solidly engrossing adventure to his filmography.
Plan 9 From Outer Space,"Critics Consensus: The epitome of so-bad-it's-good cinema, Plan 9 From Outer Space is an unintentionally hilarious sci-fi ""thriller"" from anti-genius Ed Wood that is justly celebrated for its staggering ineptitude."
Rollerball,"Critics Consensus: In Rollerball, social commentary collides with high-speed action -- and the audience is the winner."
Silent Running,"Critics Consensus: It doesn't fulfill the potential of its ambitious themes, butSilent Running stands as a decidedly unique type of sci-fi journey marked by intimate character work and a melancholic mood."
War of the Worlds,Critics Consensus: Steven Spielberg's adaptation of War of the Worlds delivers on the thrill and paranoia of H.G. Wells' classic novel while impressively updating the action and effects for modern audiences.
Metropolis,"Critics Consensus: Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects."
Shin Godzilla,Critics Consensus: Godzilla Resurgence offers a refreshingly low-fi -- and altogether entertaining -- return to the monster's classic creature-feature roots.
Star Trek III: The Search for Spock,"Critics Consensus: Though it may be short on dazzling special effects, The Search for Spock is still a strong Star Trek installment, thanks to affecting performances by its iconic cast."
Rogue One: A Star Wars Story,Critics Consensus: Rogue One draws deep on Star Wars mythology while breaking new narrative and aesthetic ground -- and suggesting a bright blockbuster future for the franchise.
The Fountain,"Critics Consensus: The Fountain -- a movie about metaphysics, universal patterns, Biblical symbolism, and boundless love spread across one thousand years -- is visually rich but suffers from its own unfocused ambitions."
Logan's Run,Critics Consensus: Logan's Run overcomes its campier elements and undercooked plot with a bounty of rousing ideas and dashing sci-fi adventure.
The Blob,"Critics Consensus: In spite of its chortle-worthy premise and dated special effects, The Blob remains a prime example of how satisfying cheesy B-movie monster thrills can be."
Scanners,Critics Consensus: Scanners is a dark sci-fi story with special effects that'll make your head explode.
Things to Come,"Critics Consensus: Eerily prescient in its presentation of a dystopian future, Things to Come's special effects may be somewhat dated, but its potent ideas haven't aged at all."
Cube,"Critics Consensus: Cube sometimes struggles with where to take its intriguing premise, but gripping pace and an impressive intelligence make it hard to turn away."
Strange Days,"Critics Consensus: Strange Days struggles to make the most of its futuristic premise, but what's left remains a well-directed, reasonably enjoyable sci-fi fantasy."
Heavy Metal,"Critics Consensus: It's sexist, juvenile, and dated, but Heavy Metal makes up for its flaws with eye-popping animation and a classic, smartly used soundtrack."
A Boy and His Dog,"Critics Consensus: An offbeat, eccentric black comedy, A Boy and His Dog features strong dialogue and an oddball vision of the future."
A.I.: Artificial Intelligence,"Critics Consensus: A curious, not always seamless, amalgamation of Kubrick's chilly bleakness and Spielberg's warm-hearted optimism, A.I. is, in a word, fascinating."
Sunshine,Critics Consensus: No consensus yet.
Liquid Sky,Critics Consensus: No consensus yet.
Dark Star,"Critics Consensus: Danny Boyle continues his descent into mind-twisting sci-fi madness, taking us along for the ride. Sunshine fulfills the dual requisite necessary to become classic sci-fi: dazzling visuals with intelligent action."
Open Your Eyes,Critics Consensus: No consensus yet.
Paprika,"Critics Consensus: A loopy 2001 satire, Dark Star may not be the most consistent sci-fi comedy, but its portrayal of human eccentricity is a welcome addition to the genre."
Serenity,"Critics Consensus: Director Alejandro Amenábar tackles some heady issues with finesse and clarity in Open Your Eyes, a gripping exploration of existentialism and the human spirit."
Turbo Kid,"Critics Consensus: Following its own brand of logic, Paprika is an eye-opening mind trip that is difficult to follow but never fails to dazzle."
THX-1138,Critics Consensus: Snappy dialogue and goofy characters make this Wild Wild West soap opera in space fun and adventurous.
Attack the Block,"Critics Consensus: A nostalgic ode to kids' movies of yesteryear, Turbo Kid eyes the past through an entertaining -- albeit surprisingly gory -- postmodern lens."
Upgrade,"Critics Consensus: George Lucas' feature debut presents a spare, bleak, dystopian future, and features evocatively minimal set design and creepy sound effects."
